nrow,ncol,intensity
6,9,0.057237
6,10,0.248912
6,11,0.444805
6,12,0.421057
6,13,0.448306
6,14,0.297576
6,15,0.297142
6,16,0.223596
6,17,0.227596
6,18,0.197109
6,19,0.210766
6,20,0.216378
6,21,0.109380
6,22,0.046872
6,23,0.078885
6,24,0.099355
6,25,0.165037
6,26,0.145479
6,27,0.089502
6,28,0.070159
6,29,0.065833
6,30,0.037761
6,31,0.016551
6,32,0.000000
6,33,0.000000
6,34,0.004346
6,35,0.019335
6,36,0.024479
6,37,0.017162
6,38,0.010177
6,39,0.002915
6,40,0.000000
6,41,0.044329
6,42,0.132987
6,43,0.221645
6,44,0.088658
6,45,0.000000
6,46,0.044329
6,47,0.088658
6,48,0.221645
6,49,0.221645
7,0,0.153891
7,1,0.328687
7,2,0.318826
7,3,0.418576
7,4,0.188359
7,5,0.062786
7,6,0.000000
7,7,0.000000
7,8,0.000000
7,9,0.061037
7,10,0.180125
7,11,0.357328
7,12,0.200023
7,13,0.158565
7,14,0.377933
7,15,0.297590
7,16,0.153067
7,17,0.081256
7,18,0.005000
7,19,0.043416
7,20,0.128554
7,21,0.243921
7,22,0.182843
7,23,0.196982
7,24,0.129327
7,25,0.073046
7,26,0.054171
7,27,0.038092
7,28,0.040917
7,29,0.064398
7,30,0.010942
7,31,0.001732
7,32,0.000000
7,33,0.002062
7,34,0.004123
7,35,0.016715
7,36,0.022157
7,37,0.015618
7,38,0.021755
7,39,0.011443
7,40,0.005612
7,41,0.005612
7,42,0.049941
7,43,0.132987
7,44,0.265974
7,45,0.221645
7,46,0.265974
7,47,0.177316
7,48,0.088658
7,49,0.088658
8,0,0.153891
8,1,0.347217
8,2,0.318826
8,3,0.400094
8,4,0.188359
8,5,0.000000
8,6,0.000000
8,7,0.000000
8,8,0.000000
8,9,0.000000
8,10,0.120246
8,11,0.371493
8,12,0.189542
8,13,0.141568
8,14,0.224383
8,15,0.437113
8,16,0.149653
8,17,0.005000
8,18,0.004000
8,19,0.040410
8,20,0.070970
8,21,0.104274
8,22,0.102804
8,23,0.100718
8,24,0.061441
8,25,0.035664
8,26,0.010294
8,27,0.018123
8,28,0.020653
8,29,0.023483
8,30,0.019453
8,31,0.011528
8,32,0.005196
8,33,0.005164
8,34,0.012166
8,35,0.015984
8,36,0.017358
8,37,0.013886
8,38,0.022701
8,39,0.025180
8,40,0.044900
8,41,0.011225
8,42,0.044329
8,43,0.088658
8,44,0.132987
8,45,0.132987
8,46,0.132987
8,47,0.088658
8,48,0.044329
8,49,0.000000
9,0,0.177316
9,1,0.200602
9,2,0.193187
9,3,0.336524
9,4,0.294617
9,5,0.085329
9,6,0.000000
9,7,0.000000
9,8,0.000000
9,9,0.000000
9,10,0.061037
9,11,0.245780
9,12,0.251951
9,13,0.199112
9,14,0.278393
9,15,0.352130
9,16,0.140852
9,17,0.000000
9,18,0.000000
9,19,0.000000
9,20,0.136353
9,21,0.139020
9,22,0.145203
9,23,0.138245
9,24,0.136642
9,25,0.001044
9,26,0.000692
9,27,0.001943
9,28,0.006418
9,29,0.009537
9,30,0.009367
9,31,0.013488
9,32,0.012402
9,33,0.013915
9,34,0.011084
9,35,0.008002
9,36,0.015348
9,37,0.018073
9,38,0.016607
9,39,0.017478
9,40,0.026192
9,41,0.030824
9,42,0.016748
9,43,0.013896
