nrow,ncol,intensity
0,0,0.0000000000
0,1,0.0000000000
0,2,0.0000000000
0,3,0.0000000000
0,4,0.0000000000
0,5,0.0000000000
0,6,0.0000000000
0,7,0.0000000000
0,8,0.0000000000
0,9,0.0000000000
0,10,0.0000000000
0,11,0.0000000000
0,12,0.0000000000
0,13,0.0000000000
0,14,0.0099999998
0,15,0.0099999998
0,16,0.0099999998
0,17,0.0099999998
0,18,0.0099999998
0,19,0.0099999998
0,20,0.0099999998
0,21,0.0099999998
0,22,0.0099999998
0,23,0.0099999998
0,24,0.0099999998
0,25,0.0099999998
0,26,0.0099999998
0,27,0.0099999998
0,28,0.0099999998
0,29,0.0099999998
0,30,0.0099999998
0,31,0.0099999998
0,32,0.0099999998
0,33,0.0099999998
0,34,0.0099999998
0,35,0.0099999998
0,36,0.0099999998
0,37,0.0099999998
0,38,0.0099999998
0,39,0.0000000000
1,0,0.0000000000
1,1,0.0000000000
1,2,0.0000000000
1,3,0.0000000000
1,4,0.0000000000
1,5,0.0000000000
1,6,0.0000000000
1,7,0.0000000000
1,8,0.0000000000
1,9,0.0000000000
1,10,0.0000000000
1,11,0.0000000000
1,12,0.0000000000
1,13,0.0000000000
1,14,0.0038219672
1,15,0.0100000007
1,16,0.0099999998
1,17,0.0099999998
1,18,0.0099999998
1,19,0.0100000007
1,20,0.0100000007
1,21,0.0099999998
1,22,0.0099999998
1,23,0.0099999998
1,24,0.0099999998
1,25,0.0099999998
1,26,0.0099999988
1,27,0.0099999998
1,28,0.0100000007
1,29,0.0099999998
1,30,0.0099999998
1,31,0.0099999998
1,32,0.0100000007
1,33,0.0100000007
1,34,0.0099999998
1,35,0.0100000007
1,36,0.0099999998
1,37,0.0000000000
1,38,0.0000000000
1,39,0.0000000000
2,0,0.0000000000
2,1,0.0000000000
2,2,0.0000000000
2,3,0.0000000000
2,4,0.0000000000
2,5,0.0000000000
2,6,0.0000000000
2,7,0.0000000000
2,8,0.0000000000
2,9,0.0000000000
2,10,0.0000000000
2,11,0.0000000000
2,12,0.0000000000
2,13,0.0000000000
2,14,0.0000000000
2,15,0.0099999998
2,16,0.0100000007
2,17,0.0099999998
2,18,0.0100000007
2,19,0.0099999998
2,20,0.0099999998
2,21,0.0099999998
2,22,0.0099999998
2,23,0.0099999998
2,24,0.0099999998
2,25,0.0099999998
2,26,0.0099999998
2,27,0.0099999998
2,28,0.0099999998
2,29,0.0100000007
2,30,0.0099999998
2,31,0.0100000007
2,32,0.0099999998
2,33,0.0099999998
2,34,0.0099999998
2,35,0.0099999998
2,36,0.0078919074
2,37,0.0000000000
2,38,0.0000000000
2,39,0.0000000000
3,0,0.0000000000
3,1,0.0000000000
3,2,0.0000000000
3,3,0.0000000000
3,4,0.0000000000
3,5,0.0000000000
3,6,0.0000000000
3,7,0.0000000000
3,8,0.0000000000
3,9,0.0000000000
3,10,0.0000000000
3,11,0.0000000000
3,12,0.0000000000
3,13,0.0000000000
3,14,0.0000000000
3,15,0.0066666664
3,16,0.0099999998
3,17,0.0099999998
3,18,0.0099999998
3,19,0.0099999998
3,20,0.0099999998
3,21,0.0099999998
3,22,0.0099999998
3,23,0.0099999998
3,24,0.0099999998
3,25,0.0099999998
3,26,0.0099999998
3,27,0.0099999998
3,28,0.0099999998
3,29,0.0100000007
3,30,0.0099999998
3,31,0.0099999998
3,32,0.0099999998
3,33,0.0099999998
3,34,0.0076375571
3,35,0.0067554293
3,36,0.0000000000
3,37,0.0000000000
3,38,0.0000000000
3,39,0.0000000000
4,0,0.0000000000
4,1,0.0000000000
4,2,0.0000000000
4,3,0.0000000000
4,4,0.0000000000
4,5,0.0000000000
4,6,0.0000000000
4,7,0.0000000000
4,8,0.0000000000
4,9,0.0000000000
4,10,0.0000000000
4,11,0.0000000000
4,12,0.0000000000
4,13,0.0000000000
4,14,0.0000000000
4,15,0.0000000000
4,16,0.0099999998
4,17,0.0099999998
4,18,0.0099999998
4,19,0.0099999998
4,20,0.0099999998
4,21,0.0099999998
4,22,0.0099999998
4,23,0.0099999998
4,24,0.0099999988
4,25,0.0099999988
4,26,0.0099999998
4,27,0.0100000007
4,28,0.0099999998
4,29,0.0100000007
4,30,0.0100000007
4,31,0.0099999998
4,32,0.0099999998
4,33,0.0064260545
4,34,0.0053660250
4,35,0.0042718500
4,36,0.0032445702
4,37,0.0000000000
4,38,0.0000000000
4,39,0.0000000000
5,0,0.0000000000
5,1,0.0000000000
5,2,0.0000000000
5,3,0.0000000000
5,4,0.0000000000
5,5,0.0000000000
5,6,0.0000000000
5,7,0.0000000000
5,8,0.0000000000
5,9,0.0000000000
5,10,0.0000000000
5,11,0.0000000000
5,12,0.0000000000
5,13,0.0000000000
5,14,0.0000000000
5,15,0.0000000000
5,16,0.0000000000
5,17,0.0061742724
5,18,0.0099999998
5,19,0.0099999998
5,20,0.0099999998
5,21,0.0099999998
5,22,0.0099999998
5,23,0.0099999998
5,24,0.0099999998
5,25,0.0099999998
5,26,0.0099999998
5,27,0.0099999998
5,28,0.0099999998
5,29,0.0099999988
5,30,0.0099999988
5,31,0.0089126155
5,32,0.0082663782
5,33,0.0039173663
5,34,0.0029317022
5,35,0.0021080920
5,36,0.0000000000
5,37,0.0000000000
5,38,0.0000000000
5,39,0.0000000000
6,0,0.0000000000
6,1,0.0000000000
6,2,0.0000000000
6,3,0.0000000000
6,4,0.0000000000
6,5,0.0000000000
6,6,0.0000000000
6,7,0.0000000000
6,8,0.0000000000
6,9,0.0000000000
6,10,0.0000000000
6,11,0.0000000000
6,12,0.0000000000
6,13,0.0000000000
6,14,0.0000000000
6,15,0.0000000000
6,16,0.0047495551
6,17,0.0056808442
6,18,0.0065594609
6,19,0.0078700753
6,20,0.0088686990
