nrow,ncol,intensity
0,0,0.9800000191
0,1,0.9799999595
0,2,0.9800000787
0,3,0.9850000739
0,4,0.9900000095
0,5,0.9900000691
0,6,0.9900000095
0,7,0.9900000691
0,8,0.9900000095
0,9,0.9900000691
0,10,0.9900000095
0,11,0.9900000095
0,12,0.9900000095
0,13,0.9900000095
0,14,1.0000000000
0,15,1.0000000000
0,16,1.0000000000
0,17,1.0000000000
0,18,1.0000000000
0,19,1.0000000000
0,20,1.0000000000
0,21,1.0000000000
0,22,1.0000000000
0,23,1.0000000000
0,24,1.0000000000
0,25,0.9923311472
0,26,0.9901117086
0,27,0.9399999976
0,28,0.9399999380
0,29,0.9399999976
0,30,0.9399999976
0,31,0.9399999976
0,32,0.9399999380
0,33,0.9399999976
0,34,0.9399999976
0,35,0.9399999976
0,36,0.9399999976
0,37,0.9400000572
0,38,0.9399999976
0,39,0.9700000882
1,0,0.9799999595
1,1,0.9800000191
1,2,0.9800000191
1,3,0.9800000191
1,4,0.9656497240
1,5,0.9900000095
1,6,0.9900000691
1,7,0.9900000095
1,8,0.9900000095
1,9,0.9900000095
1,10,0.9900000095
1,11,0.9900000095
1,12,0.9900000095
1,13,0.9900000095
1,14,0.9938219786
1,15,1.0000000000
1,16,1.0000000000
1,17,1.0000000000
1,18,1.0000000000
1,19,1.0000000000
1,20,1.0000000000
1,21,1.0000000000
1,22,1.0000000000
1,23,1.0000000000
1,24,1.0000000000
1,25,0.9907107353
1,26,0.9881287217
1,27,0.9850407839
1,28,0.9399999976
1,29,0.9399999976
1,30,0.9399999976
1,31,0.9399999976
1,32,0.9399999976
1,33,0.9399999976
1,34,0.9399999976
1,35,0.9399999976
1,36,0.9399999976
1,37,0.9700000286
1,38,0.9699999690
1,39,0.9699999690
2,0,0.9800000787
2,1,0.9800000191
2,2,0.9449999928
2,3,0.9100000262
2,4,0.9343503714
2,5,0.9499999881
2,6,0.9656496644
2,7,0.9900000095
2,8,0.9900000095
2,9,0.9900000691
2,10,0.9900000095
2,11,0.9900000095
2,12,0.9900000095
2,13,0.9900000691
2,14,0.9900000691
2,15,1.0000000000
2,16,1.0000000000
2,17,1.0000000000
2,18,1.0000000000
2,19,1.0000000000
2,20,1.0000000000
2,21,1.0000000000
2,22,1.0000000000
2,23,1.0000000000
2,24,0.9912798405
2,25,0.9888211489
2,26,0.9858602881
2,27,0.9823981524
2,28,0.9399999976
2,29,0.9399999976
2,30,0.9399999380
2,31,0.9399999976
2,32,0.9399999976
2,33,0.9399999976
2,34,0.9399999976
2,35,0.9399999976
2,36,0.9463242292
2,37,0.9699999690
2,38,0.9700000286
2,39,0.9700000286
3,0,0.9800000191
3,1,0.9537914991
3,2,0.9100000262
3,3,0.9100000262
3,4,0.9100000262
3,5,0.9100000262
3,6,0.9343504310
3,7,0.9900000095
3,8,0.9899999499
3,9,0.9900000691
3,10,0.9900000095
3,11,0.9900000095
3,12,0.9900000095
3,13,0.9900000691
3,14,0.9899999499
3,15,0.9966666698
3,16,1.0000000000
3,17,1.0000000000
3,18,1.0000000000
3,19,1.0000000000
3,20,1.0000000000
3,21,1.0000000000
3,22,1.0000000000
3,23,1.0000000000
3,24,0.9894819856
3,25,0.9866483808
3,26,0.9833088517
3,27,0.9795011282
3,28,0.9753197432
3,29,0.9709135294
3,30,0.9399999976
3,31,0.9399999976
3,32,0.9399999976
3,33,0.9399999976
3,34,0.9470873475
3,35,0.9497337937
3,36,0.9700000882
3,37,0.9699999690
3,38,0.9700000286
3,39,0.9700000286
4,0,0.9362084866
4,1,0.9100000262
4,2,0.9100000262
4,3,0.9100000262
4,4,0.9100000262
4,5,0.9100000262
4,6,0.9100000262
4,7,0.9100000262
4,8,0.9900000095
4,9,0.9900000095
4,10,0.9900000095
4,11,0.9899999499
4,12,0.9900000095
4,13,0.9900000095
4,14,0.9900000095
4,15,0.9900000095
4,16,1.0000000000
4,17,1.0000000000
4,18,1.0000000000
4,19,1.0000000000
4,20,1.0000000000
4,21,1.0000000000
4,22,1.0000000000
4,23,0.9901117086
4,24,0.9874044657
4,25,0.9841899872
4,26,0.9804927111
4,27,0.9763926864
4,28,0.9720263481
4,29,0.9675719738
4,30,0.9632228017
4,31,0.9399999380
4,32,0.9399999976
4,33,0.9507218599
4,34,0.9539018869
4,35,0.9571844339
4,36,0.9602663517
4,37,0.9699999690
4,38,0.9700000286
4,39,0.9700000286
5,0,0.9223568439
5,1,0.9223569036
5,2,0.9100000262
5,3,0.9100000262
5,4,0.9100000262
5,5,0.9100000262
5,6,0.9100000262
5,7,0.9668180943
5,8,0.9864451885
5,9,0.9900000095
5,10,0.9900000095
5,11,0.9900000095
5,12,0.9900000095
5,13,0.9900000095
5,14,0.9900000095
5,15,0.9900000095
5,16,0.9900000095
5,17,0.9853884578
5,18,1.0000000000
5,19,1.0000000000
5,20,1.0000000000
5,21,1.0000000000
5,22,1.0000000000
5,23,0.9881287217
5,24,0.9850408435
5,25,0.9814589024
5,26,0.9774489403
5,27,0.9731336832
5,28,0.9686831236
5,29,0.9642900229
5,30,0.9601370096
5,31,0.9578509331
5,32,0.9452009201
5,33,0.9582479596
5,34,0.9612048864
5,35,0.9636757374
5,36,0.9699999690
5,37,0.9700000286
5,38,0.9699999690
5,39,0.9699999690
6,0,0.9100000262
6,1,0.9100000262
6,2,0.9100000262
6,3,0.9100000262
6,4,0.9100000262
6,5,0.9100000262
6,6,0.9100000262
6,7,0.9521054029
6,8,0.9500000477
6,9,0.9587803483
6,10,0.9899999499
6,11,0.9900000095
6,12,0.9899999499
6,13,0.9900000095
6,14,0.9900000095
6,15,0.9900000095
6,16,0.9749142528
6,17,0.9748185873
6,18,0.9744361043
6,19,0.9732627273
6,20,0.9760878086
6,21,0.9738072157
6,22,1.0000000000
6,23,1.0000000000
6,24,0.9823980927
6,25,0.9784858227
6,26,0.9742324352
6,27,0.9697980881
6,28,0.9653724432
6,29,0.9622029662
6,30,0.9592717290
6,31,0.9474042654
6,32,0.9700000286
6,33,0.9700000286
6,34,0.9700000286
6,35,0.9699999690
6,36,0.9700000286
6,37,0.9700000286
6,38,0.9700000286
6,39,0.9700000882
7,0,0.9100000262
7,1,0.9100000262
7,2,0.9099999666
7,3,0.9100000262
7,4,0.9100000262
7,5,0.9100000262
7,6,0.9100000262
7,7,0.9100000262
7,8,0.9100000262
7,9,0.9412196279
7,10,0.9500000477
7,11,0.9900000095
7,12,0.9900000095
7,13,0.9900000095
7,14,0.9675061107
7,15,0.9674757123
7,16,0.9674908519
7,17,0.9674230814
7,18,0.9671505690
7,19,0.9656823874
7,20,0.9651123285
7,21,0.9662904143
7,22,0.9643226266
7,23,0.9624041319
7,24,0.9795010686
7,25,0.9753196836
7,26,0.9709134102
7,27,0.9664673805
7,28,0.9635134339
7,29,0.9487174153
7,30,0.9501588345
7,31,0.9517073631
7,32,0.9699999690
7,33,0.9699999690
7,34,0.9700000286
7,35,0.9700000286
7,36,0.9700000286
7,37,0.9700000286
7,38,0.9700000286
7,39,0.9700000286
8,0,0.9100000262
8,1,0.9100000262
8,2,0.9100000858
8,3,0.9100000262
8,4,0.9100000262
8,5,0.9100000262
8,6,0.7251467109
8,7,0.9099999666
8,8,0.9100000262
8,9,0.9100000262
8,10,0.9100000262
8,11,0.9100000858
8,12,0.9570168853
8,13,0.9551616907
8,14,0.9516534805
8,15,0.9586068988
8,16,0.9587135315
8,17,0.9588938355
8,18,0.9589906931
8,19,0.9576026201
8,20,0.9553305507
8,21,0.9555666447
8,22,0.9587724209
8,23,0.9570821524
8,24,0.9554869533
8,25,0.9399999380
8,26,0.9399999976
8,27,0.9501588345
8,28,0.9517073631
8,29,0.9533333182
8,30,0.9549999833
8,31,0.9566666484
8,32,0.9700000286
8,33,0.9700000286
8,34,0.9700000286
8,35,0.9699999690
8,36,0.9700000286
8,37,0.9700000286
8,38,0.9700000286
8,39,0.9699999690
9,0,0.9099999666
9,1,0.9100000858
9,2,0.9100000262
9,3,0.9099999666
9,4,0.9100000262
9,5,0.6778035760
9,6,0.6903398037
9,7,0.7024127841
9,8,0.7140161991
9,9,0.9100000262
