nrow,ncol,intensity
6,13,0.0199999996
6,14,0.0199999996
6,15,0.0199999996
6,16,0.0136800557
6,17,0.0133084301
6,18,0.0131905256
6,19,0.0128574269
6,20,0.0136530539
6,21,0.0143577149
6,22,0.0000000000
6,23,0.0000000000
6,24,0.0088009452
6,25,0.0107570970
6,26,0.0128837889
6,27,0.0151009839
6,28,0.0173137709
6,29,0.0183006488
6,30,0.0195774846
6,31,0.0250638146
6,32,0.0099999998
6,33,0.0099999998
6,34,0.0099999998
6,35,0.0099999998
6,36,0.0100000007
6,37,0.0099999998
6,38,0.0100000007
6,39,0.0099999998
7,0,0.0099999998
7,1,0.0099999998
7,2,0.0099999998
7,3,0.0099999998
7,4,0.0099999998
7,5,0.0099999998
7,6,0.0099999998
7,7,0.0099999998
7,8,0.0099999998
7,9,0.0139024537
7,10,0.0149999997
7,11,0.0199999996
7,12,0.0199999996
7,13,0.0199999996
7,14,0.0151308607
7,15,0.0147275357
7,16,0.0144938771
7,17,0.0144854737
7,18,0.0147271967
7,19,0.0148813697
7,20,0.0157059543
7,21,0.0168548301
7,22,0.0178387333
7,23,0.0187979322
7,24,0.0102494508
7,25,0.0123401415
7,26,0.0145432735
7,27,0.0167663042
7,28,0.0173872355
7,29,0.0241883714
7,30,0.0232274719
7,31,0.0221950933
7,32,0.0099999998
7,33,0.0099999998
7,34,0.0099999998
7,35,0.0099999998
7,36,0.0099999998
7,37,0.0099999998
7,38,0.0099999998
7,39,0.0099999998
8,0,0.0099999998
8,1,0.0100000007
8,2,0.0099999998
8,3,0.0099999998
8,4,0.0099999998
8,5,0.0099999998
8,6,0.0099999998
8,7,0.0099999998
8,8,0.0099999998
8,9,0.0099999998
8,10,0.0099999998
8,11,0.0099999998
8,12,0.0164456796
8,13,0.0161587726
8,14,0.0176887494
8,15,0.0150180506
8,16,0.0151439197
8,17,0.0155122671
8,18,0.0161173716
8,19,0.0167326927
8,20,0.0176103842
8,21,0.0187663417
8,22,0.0206137616
8,23,0.0214588828
8,24,0.0222564973
8,25,0.0299999993
8,26,0.0299999975
8,27,0.0232274737
8,28,0.0221950933
8,29,0.0211110953
8,30,0.0199999996
8,31,0.0188889038
8,32,0.0099999998
8,33,0.0099999998
8,34,0.0099999998
8,35,0.0099999998
8,36,0.0100000007
8,37,0.0099999998
8,38,0.0100000007
8,39,0.0099999998
9,0,0.0099999998
9,1,0.0099999998
9,2,0.0099999998
9,3,0.0099999998
9,4,0.0099999998
9,5,0.0099999998
9,6,0.0099999998
9,7,0.0100000007
9,8,0.0099999998
9,9,0.0099999998
9,10,0.0099999998
9,11,0.0099999998
9,12,0.0151604610
9,13,0.0148400310
9,14,0.0166199096
9,15,0.0173544865
9,16,0.0099999998
9,17,0.0198072232
9,18,0.0166642163
9,19,0.0180371348
9,20,0.0193702169
9,21,0.0206170678
9,22,0.0217512418
9,23,0.0299999993
9,24,0.0299999993
9,25,0.0299999993
9,26,0.0299999993
9,27,0.0199999996
9,28,0.0188889019
9,29,0.0178049058
9,30,0.0167725272
9,31,0.0158116259
9,32,0.0149361854
9,33,0.0099999998
9,34,0.0099999998
9,35,0.0099999998
9,36,0.0099999998
9,37,0.0099999998
9,38,0.0099999998
9,39,0.0099999998
10,0,0.0099999998
10,1,0.0099999998
10,2,0.0099999998
10,3,0.0099999998
10,4,0.0099999998
10,5,0.0099999988
10,6,0.0099999998
10,7,0.0099999988
10,8,0.0099999998
10,9,0.0099999998
10,10,0.0099999998
10,11,0.0099999998
10,12,0.0099999998
10,13,0.0128509887
10,14,0.0099999998
10,15,0.0100000007
10,16,0.0099999998
10,17,0.0100000007
10,18,0.0099999998
10,19,0.0211017169
10,20,0.0243889801
10,21,0.0258672964
10,22,0.0270363484
10,23,0.0299999993
10,24,0.0300000012
10,25,0.0300000012
10,26,0.0099999998
10,27,0.0099999998
10,28,0.0158116259
10,29,0.0149361854
10,30,0.0141540077
10,31,0.0134672448
10,32,0.0128734307
10,33,0.0099999998
10,34,0.0099999998
10,35,0.0099999998
10,36,0.0099999998
10,37,0.0099999998
10,38,0.0099999998
10,39,0.0099999998
11,0,0.0099999998
11,1,0.0099999998
11,2,0.0099999998
11,3,0.0099999998
11,4,0.0099999998
11,5,0.0099999998
11,6,0.0099999998
11,7,0.0099999998
11,8,0.0100000007
11,9,0.0099999998
11,10,0.0100000007
11,11,0.0099999998
11,12,0.0099999998
11,13,0.0114752306
11,14,0.0100000007
11,15,0.0099999998
11,16,0.0099999998
11,17,0.0099999998
11,18,0.0100000007
11,19,0.0099999998
11,20,0.0214388948
11,21,0.0231153574
11,22,0.0246012248
11,23,0.0299999993
11,24,0.0300000012
11,25,0.0299999993
11,26,0.0099999998
11,27,0.0099999998
11,28,0.0099999998
11,29,0.0099999998
11,30,0.0099999988
11,31,0.0099999998
11,32,0.0099999998
11,33,0.0099999998
11,34,0.0099999998
11,35,0.0099999998
11,36,0.0099999998
11,37,0.0099999998
11,38,0.0099999998
