nrow,ncol,intensity
7,29,0.010013
7,30,0.006057
7,31,0.011796
7,32,0.008453
7,33,0.000000
7,34,0.000000
7,35,0.000000
7,36,0.000000
7,37,0.000000
7,38,0.000000
7,39,0.000000
8,0,0.000000
8,1,0.000000
8,2,0.000000
8,3,0.000000
8,4,0.043172
8,5,0.118383
8,6,0.191350
8,7,0.150247
8,8,0.078969
8,9,0.045411
8,10,0.019050
8,11,0.035859
8,12,0.027211
8,13,0.014838
8,14,0.013627
8,15,0.173500
8,16,0.173916
8,17,0.173360
8,18,0.010069
8,19,0.007957
8,20,0.007241
8,21,0.006879
8,22,0.007998
8,23,0.011047
8,24,0.015975
8,25,0.016941
8,26,0.016878
8,27,0.012089
8,28,0.006916
8,29,0.005433
8,30,0.005015
8,31,0.008344
8,32,0.007444
8,33,0.001154
8,34,0.000000
8,35,0.000000
8,36,0.000000
8,37,0.000000
8,38,0.000000
8,39,0.000000
9,0,0.000000
9,1,0.000000
9,2,0.000000
9,3,0.000000
9,4,0.093833
9,5,0.196223
9,6,0.114539
9,7,0.106877
9,8,0.292834
9,9,0.245089
9,10,0.165478
9,11,0.010664
9,12,0.023577
9,13,0.174685
9,14,0.334341
9,15,0.659867
9,16,0.820366
9,17,0.661701
9,18,0.354790
9,19,0.191199
9,20,0.028845
9,21,0.009429
9,22,0.010201
9,23,0.009470
9,24,0.004552
9,25,0.006841
9,26,0.013276
9,27,0.011862
9,28,0.006543
9,29,0.004799
9,30,0.004545
9,31,0.005111
9,32,0.006572
9,33,0.001826
9,34,0.000000
9,35,0.000000
9,36,0.000000
9,37,0.000000
9,38,0.000000
9,39,0.000000
10,0,0.000000
10,1,0.000000
10,2,0.000000
10,3,0.061673
10,4,0.214330
10,5,0.145755
10,6,0.162800
10,7,0.276025
10,8,0.546117
10,9,0.747776
10,10,0.661910
10,11,0.335687
10,12,0.216571
10,13,0.377293
10,14,0.775413
10,15,0.327137
10,16,0.325974
10,17,0.325841
10,18,0.631754
10,19,0.514798
10,20,0.234162
10,21,0.070329
10,22,0.045579
10,23,0.020646
10,24,0.000000
10,25,0.009354
10,26,0.021047
10,27,0.010453
10,28,0.007806
10,29,0.005875
10,30,0.005112
10,31,0.004397
10,32,0.004668
10,33,0.001826
10,34,0.000000
10,35,0.000000
10,36,0.000000
10,37,0.000000
10,38,0.000000
10,39,0.000000
11,0,0.000000
11,1,0.076596
11,2,0.150142
11,3,0.282335
11,4,0.225456
11,5,0.109518
11,6,0.265481
11,7,0.569931
11,8,0.242195
11,9,0.287783
11,10,0.330955
11,11,0.827388
11,12,0.533811
11,13,0.645612
11,14,0.284269
11,15,0.000000
11,16,0.000000
11,17,0.000000
11,18,0.142442
11,19,0.442559
11,20,0.607998
11,21,0.356583
11,22,0.231577
11,23,0.066960
11,24,0.021942
11,25,0.014031
11,26,0.014031
11,27,0.001359
11,28,0.002513
11,29,0.003485
11,30,0.002937
11,31,0.002454
11,32,0.001483
11,33,0.000672
11,34,0.000000
11,35,0.000000
11,36,0.000000
11,37,0.000000
11,38,0.000000
11,39,0.000000
12,0,0.289301
12,1,0.343224
12,2,0.337081
12,3,0.192619
12,4,0.124518
12,5,0.151148
12,6,0.432868
12,7,0.210343
12,8,0.000000
12,9,0.000000
12,10,0.000000
12,11,0.330955
12,12,0.927558
12,13,0.544307
12,14,0.217245
12,15,0.000000
12,16,0.000000
12,17,0.000000
12,18,0.000000
12,19,0.137944
12,20,0.279004
12,21,0.560036
12,22,0.457042
12,23,0.230322
12,24,0.081932
12,25,0.043111
12,26,0.014031
12,27,0.000000
12,28,0.000000
12,29,0.000000
12,30,0.000000
12,31,0.000000
12,32,0.000000
12,33,0.000000
12,34,0.000000
12,35,0.000000
12,36,0.000000
12,37,0.000000
12,38,0.000000
12,39,0.000000
13,0,0.323040
13,1,0.223328
13,2,0.140839
13,3,0.061260
13,4,0.061176
13,5,0.146758
13,6,0.450133
13,7,0.183640
13,8,0.000000
13,9,0.000000
13,10,0.000000
13,11,0.165478
13,12,0.270800
13,13,0.748401
13,14,0.100800
13,15,0.000000
13,16,0.000000
13,17,0.000000
13,18,0.000000
13,19,0.000000
13,20,0.000000
13,21,0.136705
13,22,0.529650
13,23,0.332061
13,24,0.126300
13,25,0.118074
13,26,0.046575
13,27,0.000000
13,28,0.000000
13,29,0.000000
13,30,0.000000
13,31,0.000000
13,32,0.000000
13,33,0.000000
13,34,0.000000
13,35,0.000000
13,36,0.000000
13,37,0.000000
13,38,0.000000
13,39,0.000000
14,0,0.072149
14,1,0.072629
14,2,0.079597
14,3,0.079238
14,4,0.078706
14,5,0.213652
14,6,0.440740
14,7,0.082739
14,8,0.000000
14,9,0.000000
14,10,0.000000
14,11,0.000000
14,12,0.102011
14,13,0.115630
14,14,0.105954
14,15,0.001842
14,16,0.000000
14,17,0.000000
14,18,0.000000
14,19,0.000000
14,20,0.000000
14,21,0.000000
14,22,0.252215
14,23,0.521805
14,24,0.237413
14,25,0.196364
14,26,0.169294
14,27,0.054590
14,28,0.000000
14,29,0.000000
14,30,0.000000
14,31,0.000000
14,32,0.000000
14,33,0.000000
14,34,0.000000
14,35,0.000000
14,36,0.000000
14,37,0.000000
14,38,0.000000
14,39,0.000000
15,0,0.091973
15,1,0.087418
15,2,0.086654
15,3,0.086681
15,4,0.086509
15,5,0.204139
15,6,0.281282
15,7,0.084378
15,8,0.001639
15,9,0.001639
15,10,0.001639
15,11,0.002458
15,12,0.004048
15,13,0.015365
15,14,0.015275
15,15,0.004044
15,16,0.000000
15,17,0.000000
15,18,0.000000
15,19,0.000000
15,20,0.000000
15,21,0.000000
15,22,0.120454
15,23,0.407327
15,24,0.371341
15,25,0.262582
15,26,0.351961
15,27,0.154048
15,28,0.000000
15,29,0.000000
15,30,0.000000
15,31,0.166255
15,32,0.166255
15,33,0.166255
15,34,0.000000
15,35,0.000000
15,36,0.000000
15,37,0.000000
15,38,0.000000
15,39,0.000000
16,0,0.085744
16,1,0.079146
16,2,0.073739
16,3,0.075288
16,4,0.120461
16,5,0.254677
16,6,0.123673
16,7,0.003816
16,8,0.003816
16,9,0.004513
16,10,0.003878
16,11,0.003132
16,12,0.006954
16,13,0.011099
16,14,0.013716
16,15,0.008995
16,16,0.001218
16,17,0.000000
16,18,0.000000
16,19,0.000000
16,20,0.000000
16,21,0.000000
16,22,0.000000
16,23,0.165562
16,24,0.340029
16,25,0.245395
16,26,0.344951
16,27,0.391301
16,28,0.106964
16,29,0.166255
16,30,0.332509
16,31,0.665019
16,32,0.831273
16,33,0.665019
16,34,0.332509
16,35,0.166255
16,36,0.000000
16,37,0.000000
16,38,0.000000
16,39,0.000000
17,0,0.104962
17,1,0.092402
17,2,0.102655
17,3,0.131915
17,4,0.201686
17,5,0.153913
17,6,0.062474
17,7,0.005179
17,8,0.003644
17,9,0.002392
17,10,0.001976
17,11,0.001176
17,12,0.003145
17,13,0.009062
17,14,0.015232
17,15,0.014268
17,16,0.007406
17,17,0.004677
17,18,0.000000
17,19,0.000000
17,20,0.000000
17,21,0.000000
17,22,0.000000
17,23,0.059506
17,24,0.157162
17,25,0.226287
17,26,0.284153
17,27,0.453835
17,28,0.364357
17,29,0.457040
17,30,0.831273
17,31,0.332509
17,32,0.332509
17,33,0.332509
17,34,0.831273
17,35,0.332509
17,36,0.000000
17,37,0.028115
17,38,0.028115
17,39,0.044984
18,0,0.129634
18,1,0.117317
18,2,0.128714
18,3,0.137279
18,4,0.078827
18,5,0.042647
18,6,0.003592
18,7,0.008942
18,8,0.004635
18,9,0.001187
18,10,0.001125
18,11,0.001010
18,12,0.001846
18,13,0.007318
18,14,0.013715
18,15,0.020416
18,16,0.021006
18,17,0.018708
18,18,0.009354
18,19,0.004677
18,20,0.000000
18,21,0.000000
18,22,0.000000
18,23,0.000000
18,24,0.041382
18,25,0.080504
18,26,0.202076
18,27,0.243768
18,28,0.456420
18,29,0.917747
18,30,0.332509
18,31,0.000000
18,32,0.000000
18,33,0.000000
18,34,0.332509
18,35,0.707994
18,36,0.245453
18,37,0.137586
18,38,0.178955
18,39,0.093420
19,0,0.036447
19,1,0.045765
19,2,0.045730
19,3,0.023921
19,4,0.000000
19,5,0.000000
19,6,0.000000
19,7,0.003554
19,8,0.007511
19,9,0.002716
19,10,0.001099
19,11,0.001172
19,12,0.001253
19,13,0.006401
19,14,0.010966
19,15,0.004888
19,16,0.008043
19,17,0.009354
19,18,0.023385
19,19,0.009354
19,20,0.000000
19,21,0.000000
19,22,0.002500
19,23,0.005000
19,24,0.010000
19,25,0.011682
19,26,0.076914
19,27,0.143587
19,28,0.227257
19,29,0.323814
19,30,0.209393
19,31,0.000000
19,32,0.000000
19,33,0.000000
19,34,0.166255
19,35,0.455789
19,36,0.509661
19,37,0.229561
19,38,0.140039
19,39,0.145511
20,0,0.002108
20,1,0.003269
20,2,0.005765
20,3,0.002903
20,4,0.000000
20,5,0.000000
20,6,0.000000
20,7,0.003588
20,8,0.009144
20,9,0.002961
